Train Loss: 2.012, Train Acc: 0.110, Test Loss: 2.010, Test Acc: 0.111
Train Loss: 2.008, Train Acc: 0.110, Test Loss: 2.007, Test Acc: 0.111
Train Loss: 2.005, Train Acc: 0.110, Test Loss: 2.004, Test Acc: 0.111
Train Loss: 2.002, Train Acc: 0.110, Test Loss: 2.001, Test Acc: 0.111
Train Loss: 1.999, Train Acc: 0.110, Test Loss: 1.998, Test Acc: 0.111
Train Loss: 1.996, Train Acc: 0.110, Test Loss: 1.995, Test Acc: 0.111
Train Loss: 1.993, Train Acc: 0.110, Test Loss: 1.992, Test Acc: 0.111
Train Loss: 1.990, Train Acc: 0.110, Test Loss: 1.989, Test Acc: 0.111
Train Loss: 1.987, Train Acc: 0.110, Test Loss: 1.986, Test Acc: 0.111
Train Loss: 1.984, Train Acc: 0.110, Test Loss: 1.984, Test Acc: 0.111
Train Loss: 1.982, Train Acc: 0.110, Test Loss: 1.981, Test Acc: 0.111
Train Loss: 1.979, Train Acc: 0.110, Test Loss: 1.978, Test Acc: 0.111
Train Loss: 1.977, Train Acc: 0.110, Test Loss: 1.976, Test Acc: 0.111
Train Loss: 1.974, Train Acc: 0.110, Test Loss: 1.973, Test Acc: 0.111
Train Loss: 1.972, Train Acc: 0.110, Test Loss: 1.971, Test Acc: 0.111
Train Loss: 1.969, Train Acc: 0.110, Test Loss: 1.969, Test Acc: 0.111
Train Loss: 1.967, Train Acc: 0.110, Test Loss: 1.966, Test Acc: 0.111
Train Loss: 1.964, Train Acc: 0.110, Test Loss: 1.964, Test Acc: 0.111
Train Loss: 1.962, Train Acc: 0.110, Test Loss: 1.962, Test Acc: 0.111
Train Loss: 1.960, Train Acc: 0.110, Test Loss: 1.959, Test Acc: 0.111
Train Loss: 1.957, Train Acc: 0.110, Test Loss: 1.957, Test Acc: 0.111
Train Loss: 1.955, Train Acc: 0.110, Test Loss: 1.955, Test Acc: 0.111
Train Loss: 1.952, Train Acc: 0.110, Test Loss: 1.952, Test Acc: 0.111
Train Loss: 1.950, Train Acc: 0.110, Test Loss: 1.950, Test Acc: 0.111
Train Loss: 1.948, Train Acc: 0.110, Test Loss: 1.948, Test Acc: 0.111
Train Loss: 1.945, Train Acc: 0.110, Test Loss: 1.945, Test Acc: 0.111
Train Loss: 1.943, Train Acc: 0.110, Test Loss: 1.943, Test Acc: 0.111
Train Loss: 1.940, Train Acc: 0.110, Test Loss: 1.940, Test Acc: 0.111
Train Loss: 1.938, Train Acc: 0.110, Test Loss: 1.938, Test Acc: 0.111
Train Loss: 1.935, Train Acc: 0.110, Test Loss: 1.935, Test Acc: 0.111
Train Loss: 1.933, Train Acc: 0.110, Test Loss: 1.933, Test Acc: 0.111
Train Loss: 1.930, Train Acc: 0.110, Test Loss: 1.930, Test Acc: 0.111
Train Loss: 1.928, Train Acc: 0.111, Test Loss: 1.928, Test Acc: 0.111
Train Loss: 1.925, Train Acc: 0.111, Test Loss: 1.925, Test Acc: 0.111
Train Loss: 1.922, Train Acc: 0.111, Test Loss: 1.923, Test Acc: 0.111
Train Loss: 1.920, Train Acc: 0.111, Test Loss: 1.920, Test Acc: 0.111
Train Loss: 1.917, Train Acc: 0.111, Test Loss: 1.918, Test Acc: 0.111
Train Loss: 1.914, Train Acc: 0.111, Test Loss: 1.915, Test Acc: 0.111
Train Loss: 1.912, Train Acc: 0.111, Test Loss: 1.912, Test Acc: 0.111
Train Loss: 1.909, Train Acc: 0.111, Test Loss: 1.910, Test Acc: 0.111
Train Loss: 1.906, Train Acc: 0.112, Test Loss: 1.907, Test Acc: 0.111
Train Loss: 1.903, Train Acc: 0.112, Test Loss: 1.904, Test Acc: 0.111
Train Loss: 1.900, Train Acc: 0.112, Test Loss: 1.901, Test Acc: 0.111
Train Loss: 1.897, Train Acc: 0.112, Test Loss: 1.898, Test Acc: 0.111
Train Loss: 1.894, Train Acc: 0.112, Test Loss: 1.895, Test Acc: 0.113
Train Loss: 1.891, Train Acc: 0.114, Test Loss: 1.892, Test Acc: 0.113
