Train Loss: 2.049, Train Acc: 0.055, Test Loss: 2.050, Test Acc: 0.061
Train Loss: 2.046, Train Acc: 0.057, Test Loss: 2.047, Test Acc: 0.059
Train Loss: 2.043, Train Acc: 0.058, Test Loss: 2.044, Test Acc: 0.059
Train Loss: 2.040, Train Acc: 0.068, Test Loss: 2.041, Test Acc: 0.065
Train Loss: 2.037, Train Acc: 0.075, Test Loss: 2.038, Test Acc: 0.076
Train Loss: 2.034, Train Acc: 0.084, Test Loss: 2.035, Test Acc: 0.077
Train Loss: 2.031, Train Acc: 0.103, Test Loss: 2.032, Test Acc: 0.090
Train Loss: 2.028, Train Acc: 0.128, Test Loss: 2.029, Test Acc: 0.109
Train Loss: 2.025, Train Acc: 0.147, Test Loss: 2.026, Test Acc: 0.133
Train Loss: 2.023, Train Acc: 0.165, Test Loss: 2.024, Test Acc: 0.148
Train Loss: 2.020, Train Acc: 0.171, Test Loss: 2.021, Test Acc: 0.159
Train Loss: 2.017, Train Acc: 0.172, Test Loss: 2.018, Test Acc: 0.162
Train Loss: 2.015, Train Acc: 0.172, Test Loss: 2.016, Test Acc: 0.161
Train Loss: 2.012, Train Acc: 0.163, Test Loss: 2.013, Test Acc: 0.164
Train Loss: 2.010, Train Acc: 0.162, Test Loss: 2.011, Test Acc: 0.155
Train Loss: 2.007, Train Acc: 0.159, Test Loss: 2.008, Test Acc: 0.153
Train Loss: 2.005, Train Acc: 0.156, Test Loss: 2.006, Test Acc: 0.153
Train Loss: 2.003, Train Acc: 0.155, Test Loss: 2.004, Test Acc: 0.155
Train Loss: 2.000, Train Acc: 0.155, Test Loss: 2.001, Test Acc: 0.155
Train Loss: 1.998, Train Acc: 0.155, Test Loss: 1.999, Test Acc: 0.155
Train Loss: 1.996, Train Acc: 0.154, Test Loss: 1.996, Test Acc: 0.155
Train Loss: 1.993, Train Acc: 0.153, Test Loss: 1.994, Test Acc: 0.155
Train Loss: 1.991, Train Acc: 0.154, Test Loss: 1.992, Test Acc: 0.155
Train Loss: 1.988, Train Acc: 0.154, Test Loss: 1.989, Test Acc: 0.155
Train Loss: 1.986, Train Acc: 0.154, Test Loss: 1.987, Test Acc: 0.155
Train Loss: 1.983, Train Acc: 0.154, Test Loss: 1.984, Test Acc: 0.155
Train Loss: 1.981, Train Acc: 0.154, Test Loss: 1.982, Test Acc: 0.155
Train Loss: 1.978, Train Acc: 0.154, Test Loss: 1.979, Test Acc: 0.155
Train Loss: 1.976, Train Acc: 0.154, Test Loss: 1.977, Test Acc: 0.155
Train Loss: 1.973, Train Acc: 0.154, Test Loss: 1.974, Test Acc: 0.155
Train Loss: 1.971, Train Acc: 0.154, Test Loss: 1.972, Test Acc: 0.155
Train Loss: 1.968, Train Acc: 0.154, Test Loss: 1.969, Test Acc: 0.155
Train Loss: 1.965, Train Acc: 0.154, Test Loss: 1.966, Test Acc: 0.155
Train Loss: 1.963, Train Acc: 0.154, Test Loss: 1.964, Test Acc: 0.155
Train Loss: 1.960, Train Acc: 0.154, Test Loss: 1.961, Test Acc: 0.155
Train Loss: 1.957, Train Acc: 0.154, Test Loss: 1.958, Test Acc: 0.155
Train Loss: 1.955, Train Acc: 0.154, Test Loss: 1.956, Test Acc: 0.155
Train Loss: 1.952, Train Acc: 0.154, Test Loss: 1.953, Test Acc: 0.155
Train Loss: 1.949, Train Acc: 0.154, Test Loss: 1.950, Test Acc: 0.155
Train Loss: 1.946, Train Acc: 0.154, Test Loss: 1.947, Test Acc: 0.155
Train Loss: 1.943, Train Acc: 0.154, Test Loss: 1.945, Test Acc: 0.155
Train Loss: 1.941, Train Acc: 0.154, Test Loss: 1.942, Test Acc: 0.155
Train Loss: 1.938, Train Acc: 0.154, Test Loss: 1.939, Test Acc: 0.155
Train Loss: 1.935, Train Acc: 0.154, Test Loss: 1.936, Test Acc: 0.155
Train Loss: 1.932, Train Acc: 0.154, Test Loss: 1.933, Test Acc: 0.155
Train Loss: 1.929, Train Acc: 0.154, Test Loss: 1.930, Test Acc: 0.155
Train Loss: 1.926, Train Acc: 0.154, Test Loss: 1.928, Test Acc: 0.155
Train Loss: 1.923, Train Acc: 0.154, Test Loss: 1.925, Test Acc: 0.155
Train Loss: 1.920, Train Acc: 0.154, Test Loss: 1.922, Test Acc: 0.155
Train Loss: 1.917, Train Acc: 0.154, Test Loss: 1.919, Test Acc: 0.155
Train Loss: 1.914, Train Acc: 0.154, Test Loss: 1.916, Test Acc: 0.155
Train Loss: 1.911, Train Acc: 0.154, Test Loss: 1.913, Test Acc: 0.155
Train Loss: 1.908, Train Acc: 0.154, Test Loss: 1.910, Test Acc: 0.155
Train Loss: 1.905, Train Acc: 0.155, Test Loss: 1.907, Test Acc: 0.155
Train Loss: 1.902, Train Acc: 0.155, Test Loss: 1.904, Test Acc: 0.155
Train Loss: 1.899, Train Acc: 0.155, Test Loss: 1.901, Test Acc: 0.155
Train Loss: 1.896, Train Acc: 0.155, Test Loss: 1.898, Test Acc: 0.155
Train Loss: 1.893, Train Acc: 0.155, Test Loss: 1.895, Test Acc: 0.155
Train Loss: 1.890, Train Acc: 0.155, Test Loss: 1.892, Test Acc: 0.155
Train Loss: 1.887, Train Acc: 0.155, Test Loss: 1.889, Test Acc: 0.157
Train Loss: 1.884, Train Acc: 0.157, Test Loss: 1.886, Test Acc: 0.157
Train Loss: 1.881, Train Acc: 0.157, Test Loss: 1.883, Test Acc: 0.157
Train Loss: 1.878, Train Acc: 0.165, Test Loss: 1.880, Test Acc: 0.161
Train Loss: 1.874, Train Acc: 0.204, Test Loss: 1.877, Test Acc: 0.190
Train Loss: 1.871, Train Acc: 0.258, Test Loss: 1.873, Test Acc: 0.264
Train Loss: 1.868, Train Acc: 0.344, Test Loss: 1.870, Test Acc: 0.332
Train Loss: 1.865, Train Acc: 0.406, Test Loss: 1.867, Test Acc: 0.413
Train Loss: 1.862, Train Acc: 0.429, Test Loss: 1.864, Test Acc: 0.437
Train Loss: 1.859, Train Acc: 0.442, Test Loss: 1.861, Test Acc: 0.450
Train Loss: 1.855, Train Acc: 0.444, Test Loss: 1.858, Test Acc: 0.452
Train Loss: 1.852, Train Acc: 0.442, Test Loss: 1.854, Test Acc: 0.443
Train Loss: 1.849, Train Acc: 0.435, Test Loss: 1.851, Test Acc: 0.430
Train Loss: 1.846, Train Acc: 0.423, Test Loss: 1.848, Test Acc: 0.411
Train Loss: 1.842, Train Acc: 0.403, Test Loss: 1.845, Test Acc: 0.393
Train Loss: 1.839, Train Acc: 0.380, Test Loss: 1.842, Test Acc: 0.358
Train Loss: 1.836, Train Acc: 0.353, Test Loss: 1.838, Test Acc: 0.338
Train Loss: 1.833, Train Acc: 0.335, Test Loss: 1.835, Test Acc: 0.328
Train Loss: 1.829, Train Acc: 0.320, Test Loss: 1.832, Test Acc: 0.321
