Train Loss: 2.032, Train Acc: 0.080, Test Loss: 2.032, Test Acc: 0.079
Train Loss: 2.028, Train Acc: 0.080, Test Loss: 2.029, Test Acc: 0.079
Train Loss: 2.024, Train Acc: 0.080, Test Loss: 2.025, Test Acc: 0.079
Train Loss: 2.021, Train Acc: 0.080, Test Loss: 2.021, Test Acc: 0.079
Train Loss: 2.017, Train Acc: 0.080, Test Loss: 2.017, Test Acc: 0.079
Train Loss: 2.013, Train Acc: 0.080, Test Loss: 2.014, Test Acc: 0.079
Train Loss: 2.009, Train Acc: 0.080, Test Loss: 2.010, Test Acc: 0.079
Train Loss: 2.006, Train Acc: 0.080, Test Loss: 2.006, Test Acc: 0.079
Train Loss: 2.002, Train Acc: 0.080, Test Loss: 2.003, Test Acc: 0.079
Train Loss: 1.999, Train Acc: 0.080, Test Loss: 1.999, Test Acc: 0.079
Train Loss: 1.995, Train Acc: 0.080, Test Loss: 1.996, Test Acc: 0.079
Train Loss: 1.992, Train Acc: 0.080, Test Loss: 1.993, Test Acc: 0.079
Train Loss: 1.988, Train Acc: 0.081, Test Loss: 1.989, Test Acc: 0.079
Train Loss: 1.985, Train Acc: 0.083, Test Loss: 1.986, Test Acc: 0.079
Train Loss: 1.982, Train Acc: 0.084, Test Loss: 1.983, Test Acc: 0.079
Train Loss: 1.978, Train Acc: 0.088, Test Loss: 1.979, Test Acc: 0.085
Train Loss: 1.975, Train Acc: 0.093, Test Loss: 1.976, Test Acc: 0.094
Train Loss: 1.972, Train Acc: 0.108, Test Loss: 1.973, Test Acc: 0.109
Train Loss: 1.968, Train Acc: 0.135, Test Loss: 1.969, Test Acc: 0.133
Train Loss: 1.965, Train Acc: 0.158, Test Loss: 1.966, Test Acc: 0.155
Train Loss: 1.962, Train Acc: 0.187, Test Loss: 1.963, Test Acc: 0.190
Train Loss: 1.958, Train Acc: 0.205, Test Loss: 1.959, Test Acc: 0.199
Train Loss: 1.955, Train Acc: 0.219, Test Loss: 1.956, Test Acc: 0.203
Train Loss: 1.952, Train Acc: 0.223, Test Loss: 1.953, Test Acc: 0.210
