Train Loss: 1.914, Train Acc: 0.130, Test Loss: 1.914, Test Acc: 0.129
Train Loss: 1.912, Train Acc: 0.130, Test Loss: 1.912, Test Acc: 0.129
Train Loss: 1.909, Train Acc: 0.130, Test Loss: 1.910, Test Acc: 0.129
Train Loss: 1.907, Train Acc: 0.130, Test Loss: 1.907, Test Acc: 0.129
Train Loss: 1.905, Train Acc: 0.130, Test Loss: 1.905, Test Acc: 0.129
Train Loss: 1.903, Train Acc: 0.130, Test Loss: 1.903, Test Acc: 0.129
Train Loss: 1.900, Train Acc: 0.135, Test Loss: 1.901, Test Acc: 0.131
Train Loss: 1.898, Train Acc: 0.174, Test Loss: 1.898, Test Acc: 0.192
Train Loss: 1.896, Train Acc: 0.265, Test Loss: 1.896, Test Acc: 0.262
Train Loss: 1.894, Train Acc: 0.297, Test Loss: 1.894, Test Acc: 0.297
Train Loss: 1.892, Train Acc: 0.301, Test Loss: 1.892, Test Acc: 0.301
Train Loss: 1.890, Train Acc: 0.301, Test Loss: 1.890, Test Acc: 0.303
Train Loss: 1.887, Train Acc: 0.302, Test Loss: 1.888, Test Acc: 0.303
Train Loss: 1.885, Train Acc: 0.302, Test Loss: 1.886, Test Acc: 0.303
Train Loss: 1.883, Train Acc: 0.302, Test Loss: 1.884, Test Acc: 0.303
Train Loss: 1.881, Train Acc: 0.302, Test Loss: 1.882, Test Acc: 0.303
Train Loss: 1.879, Train Acc: 0.302, Test Loss: 1.880, Test Acc: 0.303
Train Loss: 1.878, Train Acc: 0.302, Test Loss: 1.878, Test Acc: 0.303
Train Loss: 1.876, Train Acc: 0.302, Test Loss: 1.876, Test Acc: 0.303
Train Loss: 1.874, Train Acc: 0.302, Test Loss: 1.874, Test Acc: 0.303
Train Loss: 1.872, Train Acc: 0.302, Test Loss: 1.872, Test Acc: 0.303
Train Loss: 1.870, Train Acc: 0.302, Test Loss: 1.871, Test Acc: 0.303
Train Loss: 1.868, Train Acc: 0.302, Test Loss: 1.869, Test Acc: 0.303
Train Loss: 1.866, Train Acc: 0.302, Test Loss: 1.867, Test Acc: 0.303
Train Loss: 1.864, Train Acc: 0.302, Test Loss: 1.865, Test Acc: 0.303
Train Loss: 1.862, Train Acc: 0.302, Test Loss: 1.863, Test Acc: 0.303
Train Loss: 1.861, Train Acc: 0.302, Test Loss: 1.861, Test Acc: 0.303
Train Loss: 1.859, Train Acc: 0.302, Test Loss: 1.860, Test Acc: 0.303
Train Loss: 1.857, Train Acc: 0.302, Test Loss: 1.858, Test Acc: 0.303
Train Loss: 1.855, Train Acc: 0.302, Test Loss: 1.856, Test Acc: 0.303
Train Loss: 1.853, Train Acc: 0.302, Test Loss: 1.854, Test Acc: 0.303
Train Loss: 1.852, Train Acc: 0.302, Test Loss: 1.853, Test Acc: 0.303
Train Loss: 1.850, Train Acc: 0.302, Test Loss: 1.851, Test Acc: 0.303
Train Loss: 1.848, Train Acc: 0.302, Test Loss: 1.849, Test Acc: 0.303
Train Loss: 1.846, Train Acc: 0.302, Test Loss: 1.847, Test Acc: 0.303
Train Loss: 1.845, Train Acc: 0.302, Test Loss: 1.846, Test Acc: 0.303
Train Loss: 1.843, Train Acc: 0.302, Test Loss: 1.844, Test Acc: 0.303
Train Loss: 1.841, Train Acc: 0.302, Test Loss: 1.842, Test Acc: 0.303
