Train Loss: 1.972, Train Acc: 0.157, Test Loss: 1.972, Test Acc: 0.153
Train Loss: 1.968, Train Acc: 0.157, Test Loss: 1.968, Test Acc: 0.153
Train Loss: 1.964, Train Acc: 0.157, Test Loss: 1.964, Test Acc: 0.153
Train Loss: 1.960, Train Acc: 0.157, Test Loss: 1.960, Test Acc: 0.155
Train Loss: 1.956, Train Acc: 0.157, Test Loss: 1.956, Test Acc: 0.155
Train Loss: 1.952, Train Acc: 0.157, Test Loss: 1.952, Test Acc: 0.155
Train Loss: 1.948, Train Acc: 0.157, Test Loss: 1.948, Test Acc: 0.155
Train Loss: 1.944, Train Acc: 0.157, Test Loss: 1.944, Test Acc: 0.155
Train Loss: 1.940, Train Acc: 0.157, Test Loss: 1.941, Test Acc: 0.157
Train Loss: 1.937, Train Acc: 0.157, Test Loss: 1.937, Test Acc: 0.157
Train Loss: 1.933, Train Acc: 0.157, Test Loss: 1.933, Test Acc: 0.157
Train Loss: 1.930, Train Acc: 0.157, Test Loss: 1.930, Test Acc: 0.157
Train Loss: 1.926, Train Acc: 0.158, Test Loss: 1.926, Test Acc: 0.157
Train Loss: 1.923, Train Acc: 0.161, Test Loss: 1.923, Test Acc: 0.157
Train Loss: 1.919, Train Acc: 0.172, Test Loss: 1.920, Test Acc: 0.162
Train Loss: 1.916, Train Acc: 0.227, Test Loss: 1.916, Test Acc: 0.203
Train Loss: 1.912, Train Acc: 0.332, Test Loss: 1.913, Test Acc: 0.327
Train Loss: 1.909, Train Acc: 0.362, Test Loss: 1.910, Test Acc: 0.371
Train Loss: 1.906, Train Acc: 0.342, Test Loss: 1.906, Test Acc: 0.347
Train Loss: 1.903, Train Acc: 0.324, Test Loss: 1.903, Test Acc: 0.325
Train Loss: 1.899, Train Acc: 0.311, Test Loss: 1.900, Test Acc: 0.310
Train Loss: 1.896, Train Acc: 0.304, Test Loss: 1.897, Test Acc: 0.303
Train Loss: 1.893, Train Acc: 0.301, Test Loss: 1.893, Test Acc: 0.303
Train Loss: 1.890, Train Acc: 0.301, Test Loss: 1.890, Test Acc: 0.303
Train Loss: 1.886, Train Acc: 0.301, Test Loss: 1.887, Test Acc: 0.303
Train Loss: 1.883, Train Acc: 0.301, Test Loss: 1.884, Test Acc: 0.303
Train Loss: 1.880, Train Acc: 0.301, Test Loss: 1.881, Test Acc: 0.303
Train Loss: 1.877, Train Acc: 0.302, Test Loss: 1.878, Test Acc: 0.303
Train Loss: 1.874, Train Acc: 0.302, Test Loss: 1.874, Test Acc: 0.303
Train Loss: 1.871, Train Acc: 0.302, Test Loss: 1.871, Test Acc: 0.303
Train Loss: 1.868, Train Acc: 0.302, Test Loss: 1.868, Test Acc: 0.303
Train Loss: 1.865, Train Acc: 0.302, Test Loss: 1.865, Test Acc: 0.303
Train Loss: 1.862, Train Acc: 0.302, Test Loss: 1.863, Test Acc: 0.303
Train Loss: 1.859, Train Acc: 0.302, Test Loss: 1.860, Test Acc: 0.303
Train Loss: 1.856, Train Acc: 0.302, Test Loss: 1.857, Test Acc: 0.303
Train Loss: 1.853, Train Acc: 0.302, Test Loss: 1.854, Test Acc: 0.303
Train Loss: 1.850, Train Acc: 0.302, Test Loss: 1.851, Test Acc: 0.303
Train Loss: 1.848, Train Acc: 0.302, Test Loss: 1.849, Test Acc: 0.303
Train Loss: 1.845, Train Acc: 0.302, Test Loss: 1.846, Test Acc: 0.303
Train Loss: 1.842, Train Acc: 0.302, Test Loss: 1.843, Test Acc: 0.303
Train Loss: 1.840, Train Acc: 0.302, Test Loss: 1.840, Test Acc: 0.303
Train Loss: 1.837, Train Acc: 0.302, Test Loss: 1.838, Test Acc: 0.303
Train Loss: 1.834, Train Acc: 0.302, Test Loss: 1.835, Test Acc: 0.303
Train Loss: 1.832, Train Acc: 0.302, Test Loss: 1.833, Test Acc: 0.303
Train Loss: 1.829, Train Acc: 0.302, Test Loss: 1.830, Test Acc: 0.303
Train Loss: 1.826, Train Acc: 0.302, Test Loss: 1.828, Test Acc: 0.303
Train Loss: 1.824, Train Acc: 0.302, Test Loss: 1.825, Test Acc: 0.303
Train Loss: 1.821, Train Acc: 0.302, Test Loss: 1.823, Test Acc: 0.303
Train Loss: 1.819, Train Acc: 0.302, Test Loss: 1.820, Test Acc: 0.303
Train Loss: 1.817, Train Acc: 0.302, Test Loss: 1.818, Test Acc: 0.303
Train Loss: 1.814, Train Acc: 0.302, Test Loss: 1.815, Test Acc: 0.303
Train Loss: 1.812, Train Acc: 0.302, Test Loss: 1.813, Test Acc: 0.303
Train Loss: 1.809, Train Acc: 0.302, Test Loss: 1.811, Test Acc: 0.303
Train Loss: 1.807, Train Acc: 0.302, Test Loss: 1.809, Test Acc: 0.303
Train Loss: 1.805, Train Acc: 0.302, Test Loss: 1.806, Test Acc: 0.303
Train Loss: 1.803, Train Acc: 0.302, Test Loss: 1.804, Test Acc: 0.303
Train Loss: 1.800, Train Acc: 0.302, Test Loss: 1.802, Test Acc: 0.303
Train Loss: 1.798, Train Acc: 0.302, Test Loss: 1.800, Test Acc: 0.303
Train Loss: 1.796, Train Acc: 0.302, Test Loss: 1.798, Test Acc: 0.303
Train Loss: 1.794, Train Acc: 0.302, Test Loss: 1.796, Test Acc: 0.303
Train Loss: 1.792, Train Acc: 0.302, Test Loss: 1.794, Test Acc: 0.303
Train Loss: 1.790, Train Acc: 0.302, Test Loss: 1.792, Test Acc: 0.303
Train Loss: 1.788, Train Acc: 0.302, Test Loss: 1.790, Test Acc: 0.303
Train Loss: 1.786, Train Acc: 0.302, Test Loss: 1.788, Test Acc: 0.303
Train Loss: 1.784, Train Acc: 0.302, Test Loss: 1.786, Test Acc: 0.303
Train Loss: 1.782, Train Acc: 0.302, Test Loss: 1.784, Test Acc: 0.303
Train Loss: 1.780, Train Acc: 0.302, Test Loss: 1.782, Test Acc: 0.303
Train Loss: 1.778, Train Acc: 0.302, Test Loss: 1.780, Test Acc: 0.303
Train Loss: 1.776, Train Acc: 0.302, Test Loss: 1.778, Test Acc: 0.303
Train Loss: 1.774, Train Acc: 0.302, Test Loss: 1.776, Test Acc: 0.303
Train Loss: 1.772, Train Acc: 0.302, Test Loss: 1.774, Test Acc: 0.303
Train Loss: 1.770, Train Acc: 0.302, Test Loss: 1.772, Test Acc: 0.303
Train Loss: 1.768, Train Acc: 0.302, Test Loss: 1.770, Test Acc: 0.303
Train Loss: 1.766, Train Acc: 0.302, Test Loss: 1.769, Test Acc: 0.303
Train Loss: 1.764, Train Acc: 0.302, Test Loss: 1.767, Test Acc: 0.303
Train Loss: 1.762, Train Acc: 0.302, Test Loss: 1.765, Test Acc: 0.303
Train Loss: 1.760, Train Acc: 0.302, Test Loss: 1.763, Test Acc: 0.303
Train Loss: 1.758, Train Acc: 0.302, Test Loss: 1.761, Test Acc: 0.303
Train Loss: 1.756, Train Acc: 0.302, Test Loss: 1.759, Test Acc: 0.303
Train Loss: 1.754, Train Acc: 0.302, Test Loss: 1.757, Test Acc: 0.303
Train Loss: 1.752, Train Acc: 0.302, Test Loss: 1.755, Test Acc: 0.303
Train Loss: 1.750, Train Acc: 0.302, Test Loss: 1.753, Test Acc: 0.303
Train Loss: 1.748, Train Acc: 0.302, Test Loss: 1.751, Test Acc: 0.303
Train Loss: 1.746, Train Acc: 0.302, Test Loss: 1.749, Test Acc: 0.303
Train Loss: 1.744, Train Acc: 0.302, Test Loss: 1.747, Test Acc: 0.303
Train Loss: 1.742, Train Acc: 0.302, Test Loss: 1.745, Test Acc: 0.303
Train Loss: 1.740, Train Acc: 0.302, Test Loss: 1.743, Test Acc: 0.303
Train Loss: 1.738, Train Acc: 0.302, Test Loss: 1.741, Test Acc: 0.303
Train Loss: 1.736, Train Acc: 0.302, Test Loss: 1.739, Test Acc: 0.303
Train Loss: 1.734, Train Acc: 0.302, Test Loss: 1.737, Test Acc: 0.303
Train Loss: 1.732, Train Acc: 0.302, Test Loss: 1.735, Test Acc: 0.303
Train Loss: 1.730, Train Acc: 0.302, Test Loss: 1.733, Test Acc: 0.303
Train Loss: 1.727, Train Acc: 0.302, Test Loss: 1.731, Test Acc: 0.303
Train Loss: 1.725, Train Acc: 0.302, Test Loss: 1.729, Test Acc: 0.303
