Train Loss: 1.993, Train Acc: 0.092, Test Loss: 1.992, Test Acc: 0.098
Train Loss: 1.990, Train Acc: 0.097, Test Loss: 1.990, Test Acc: 0.096
Train Loss: 1.987, Train Acc: 0.097, Test Loss: 1.987, Test Acc: 0.103
Train Loss: 1.984, Train Acc: 0.101, Test Loss: 1.984, Test Acc: 0.100
Train Loss: 1.981, Train Acc: 0.099, Test Loss: 1.981, Test Acc: 0.101
Train Loss: 1.978, Train Acc: 0.096, Test Loss: 1.978, Test Acc: 0.098
Train Loss: 1.975, Train Acc: 0.095, Test Loss: 1.975, Test Acc: 0.094
Train Loss: 1.972, Train Acc: 0.094, Test Loss: 1.972, Test Acc: 0.096
Train Loss: 1.969, Train Acc: 0.093, Test Loss: 1.969, Test Acc: 0.090
Train Loss: 1.966, Train Acc: 0.095, Test Loss: 1.966, Test Acc: 0.094
Train Loss: 1.964, Train Acc: 0.099, Test Loss: 1.963, Test Acc: 0.103
Train Loss: 1.961, Train Acc: 0.110, Test Loss: 1.960, Test Acc: 0.114
Train Loss: 1.958, Train Acc: 0.128, Test Loss: 1.958, Test Acc: 0.122
Train Loss: 1.955, Train Acc: 0.149, Test Loss: 1.955, Test Acc: 0.144
Train Loss: 1.952, Train Acc: 0.169, Test Loss: 1.952, Test Acc: 0.166
Train Loss: 1.949, Train Acc: 0.180, Test Loss: 1.949, Test Acc: 0.173
Train Loss: 1.946, Train Acc: 0.184, Test Loss: 1.946, Test Acc: 0.173
Train Loss: 1.943, Train Acc: 0.183, Test Loss: 1.943, Test Acc: 0.179
Train Loss: 1.940, Train Acc: 0.174, Test Loss: 1.940, Test Acc: 0.173
Train Loss: 1.938, Train Acc: 0.169, Test Loss: 1.938, Test Acc: 0.170
Train Loss: 1.935, Train Acc: 0.164, Test Loss: 1.935, Test Acc: 0.162
Train Loss: 1.932, Train Acc: 0.162, Test Loss: 1.932, Test Acc: 0.157
Train Loss: 1.929, Train Acc: 0.161, Test Loss: 1.929, Test Acc: 0.157
Train Loss: 1.926, Train Acc: 0.159, Test Loss: 1.926, Test Acc: 0.157
Train Loss: 1.923, Train Acc: 0.161, Test Loss: 1.923, Test Acc: 0.157
Train Loss: 1.920, Train Acc: 0.162, Test Loss: 1.920, Test Acc: 0.161
Train Loss: 1.917, Train Acc: 0.172, Test Loss: 1.917, Test Acc: 0.170
Train Loss: 1.914, Train Acc: 0.205, Test Loss: 1.914, Test Acc: 0.212
Train Loss: 1.911, Train Acc: 0.284, Test Loss: 1.911, Test Acc: 0.312
Train Loss: 1.908, Train Acc: 0.368, Test Loss: 1.908, Test Acc: 0.387
Train Loss: 1.904, Train Acc: 0.416, Test Loss: 1.905, Test Acc: 0.421
Train Loss: 1.901, Train Acc: 0.431, Test Loss: 1.901, Test Acc: 0.428
Train Loss: 1.898, Train Acc: 0.408, Test Loss: 1.898, Test Acc: 0.421
Train Loss: 1.894, Train Acc: 0.375, Test Loss: 1.894, Test Acc: 0.387
Train Loss: 1.891, Train Acc: 0.341, Test Loss: 1.891, Test Acc: 0.360
Train Loss: 1.887, Train Acc: 0.319, Test Loss: 1.887, Test Acc: 0.321
Train Loss: 1.883, Train Acc: 0.308, Test Loss: 1.884, Test Acc: 0.306
Train Loss: 1.879, Train Acc: 0.304, Test Loss: 1.880, Test Acc: 0.303
Train Loss: 1.876, Train Acc: 0.303, Test Loss: 1.876, Test Acc: 0.303
Train Loss: 1.872, Train Acc: 0.302, Test Loss: 1.872, Test Acc: 0.303
Train Loss: 1.868, Train Acc: 0.302, Test Loss: 1.869, Test Acc: 0.303
Train Loss: 1.864, Train Acc: 0.302, Test Loss: 1.865, Test Acc: 0.303
Train Loss: 1.860, Train Acc: 0.302, Test Loss: 1.861, Test Acc: 0.303
Train Loss: 1.857, Train Acc: 0.302, Test Loss: 1.857, Test Acc: 0.303
Train Loss: 1.853, Train Acc: 0.302, Test Loss: 1.854, Test Acc: 0.303
Train Loss: 1.849, Train Acc: 0.302, Test Loss: 1.850, Test Acc: 0.303
Train Loss: 1.845, Train Acc: 0.302, Test Loss: 1.846, Test Acc: 0.303
Train Loss: 1.842, Train Acc: 0.302, Test Loss: 1.843, Test Acc: 0.303
Train Loss: 1.838, Train Acc: 0.302, Test Loss: 1.839, Test Acc: 0.303
Train Loss: 1.834, Train Acc: 0.302, Test Loss: 1.835, Test Acc: 0.303
Train Loss: 1.831, Train Acc: 0.302, Test Loss: 1.832, Test Acc: 0.303
Train Loss: 1.827, Train Acc: 0.302, Test Loss: 1.828, Test Acc: 0.303
Train Loss: 1.824, Train Acc: 0.302, Test Loss: 1.825, Test Acc: 0.303
Train Loss: 1.820, Train Acc: 0.302, Test Loss: 1.822, Test Acc: 0.303
Train Loss: 1.817, Train Acc: 0.302, Test Loss: 1.818, Test Acc: 0.303
Train Loss: 1.813, Train Acc: 0.302, Test Loss: 1.815, Test Acc: 0.303
Train Loss: 1.810, Train Acc: 0.302, Test Loss: 1.812, Test Acc: 0.303
Train Loss: 1.807, Train Acc: 0.302, Test Loss: 1.809, Test Acc: 0.303
Train Loss: 1.804, Train Acc: 0.302, Test Loss: 1.805, Test Acc: 0.303
Train Loss: 1.801, Train Acc: 0.302, Test Loss: 1.802, Test Acc: 0.303
